,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,141625.66467309732,90380.57987411445,125689.48826532382,78164.14214505583,30502.746468896745,277299.3936357269,247596.26054425142,319984.94562573393,26802.81450808158,72442.89746418176,170482.3151843059,72946.55980808428,41375.41567177273,54923.87046691566,320326.6715332943,24984.369265177895,74407.64038690797,90361.31302680512,321263.9662320108,30027.708472101363,75782.66895235673,50272.60389354704,32636.786901022268,22940.729118329484,59679.91019380316,191718.53998839497,83343.82364694272,80886.9861475319,34475.572858565436,44642.31679523206,47363.274287072316,175519.83826833035,5663.900437400852,4131.549235538056
1,215776.43726061258,115575.01580639703,139919.89425396075,66425.44251566204,47156.134466812204,352100.9947449976,294848.09983419033,582111.3538724356,32140.746730565865,66861.76541025576,219673.38199169765,125049.92582817709,38975.15853612928,91088.975104355,581287.448413871,38127.96138671393,141609.5995099731,141082.0773358007,582255.7628582248,79353.20820652292,130424.90984539631,73387.04452632037,85615.92479090953,32096.627453029938,81547.57357457209,227200.93624040685,127252.5921938811,91842.33971891174,70102.33913305136,52333.001020969576,89606.97706997336,232625.83330811246,4881.329413827172,3860.79666473615
2,403054.07966082246,203532.65827662562,451173.9489184829,274244.0506010668,73884.03559240588,889281.2983159752,823441.3002186049,1072161.3913914529,25081.32372678906,196889.68909223157,614470.8811757531,212548.1245368048,80651.97362547442,118905.31638866063,1069456.6640650835,62248.571198077465,246667.95107823092,282839.8357982962,1070481.1646363623,39875.531618564426,243437.44463807717,85938.62572154701,99543.01808310811,46205.79650929443,201000.83006502988,683250.9200451925,232840.01604468317,58320.76030595417,114392.51554409068,143334.6667521231,132923.03588989584,513411.4458128477,3908.694136927058,3277.208939591119
3,386720.79406870686,157114.47845195743,182315.31601456518,134270.6153616709,49053.98121944337,389953.59233951085,331867.7854386876,997631.9280611804,28695.64305979847,119691.10072962547,242642.41317104927,155316.42675135078,53090.25742994483,84980.2758671501,999031.56175218,47756.57585559326,163478.0288225732,160227.6699227537,998350.7165491404,62546.722938515624,125252.61550756099,85583.38256783789,84620.3466655614,61426.03459459579,96584.71407193929,300922.523377406,158479.34101583238,96878.06497904827,86243.56314997938,71350.1832399249,114007.27466109092,285211.62936458614,4804.598899847264,4708.998682369223
4,366139.0168078656,154187.18316174505,238640.042195383,236582.26238369348,65049.657342434555,728320.641620568,557097.7190483432,1089470.7123309998,153342.93428205134,139747.0426554834,351319.0280192321,476067.1285801952,155110.34217004242,248567.83275927085,1081987.8587189096,51723.5934568782,468483.3580060162,449323.7769472798,1089205.3742016128,267603.9611222162,346560.34227422497,298753.7612597847,363700.29001132527,194498.66761378865,86037.7331151072,399895.7252288883,420142.44179589336,412842.447758279,258753.34245273186,63583.6956188291,117800.42924011784,346296.17508702277,6423.078245694823,3889.1571169029967
5,1037687.9519747008,507996.45259138633,721346.5919045818,403744.0648899815,156926.38259351367,1423657.5198355669,1243524.5318449263,2804950.187006488,309215.34623569326,349831.72430158145,881844.6552526122,809632.9869168499,201601.41068028883,411093.2363253837,2797479.881270732,92062.87726314552,775430.5147506085,728812.2118410588,2802025.409524146,450223.2904877415,500381.9332992973,492438.64407102455,517916.305992638,243083.29604768776,320286.45569063857,1084506.0711438083,762018.4482450073,644487.8741580106,298553.83053570404,222615.44598304888,309841.5320524105,964252.452971077,5875.186402522985,5843.235738489267
6,1212259.770060985,660138.0766680279,406105.82715299696,408117.866174512,219457.10191874232,1588493.906785866,1287507.5443423414,3374855.068412976,461522.7048689913,323132.2821877165,754827.636251384,1127576.483377259,198917.68304650392,580025.0818196264,3366560.7040443546,83500.0990074905,1108289.1471411732,1077998.6738329958,3374637.405529196,629847.9791898548,766849.1706337772,644586.1411486997,772061.2566183221,334952.2012559676,158297.432438408,823323.5969489022,1055637.1872130225,933203.6545919781,414478.89986715495,140829.415478723,364346.63166016823,897585.2629365134,4922.611154978774,6655.894980449708
7,467766.1824367333,271376.91666152363,627396.230624183,267241.79450130294,102011.82739060737,1021870.113109294,984109.1516803163,845157.5367925204,36833.517397574884,238644.28902103996,794912.8885684258,221219.10730421677,55169.603231425615,144475.96280162598,844209.0177038389,62577.07519166591,255604.08710208684,272189.77175596915,844564.8409905967,85639.27419986702,250483.1986025659,108904.23591276776,84019.58482310081,54840.59545502931,239243.62374685833,737926.424402361,160266.892599506,114959.46927148919,157800.24828203692,176565.3474935246,110965.00395959175,564048.6419555044,3030.992374464696,5840.304622489137
8,363937.971964849,208726.93516384187,427059.51587119524,257830.90316470162,70259.58920970069,877983.0846903967,794445.8492352217,1005665.8300471869,33184.63182761322,203750.84446571307,526001.5035432514,189572.2659221795,82173.64855237937,101843.96502876912,1002108.4675429681,39913.24138631581,239061.92490264104,262150.09586500993,1004793.2420508482,47341.723614930495,244748.1984824137,69445.26185400724,101797.7570662848,64449.32396424234,182533.06264692562,680029.2099251787,173225.95173911392,84387.39943768426,107570.610863275,144086.15992523052,106053.65115739979,522294.7880294465,4418.107066975572,5075.701952553785
9,138671.67970283906,74143.92481649636,134951.70476444662,86364.38585875974,25470.918716189997,264461.08227412985,230984.61218738134,413521.53439218435,23550.14833446675,86405.4799247267,211247.45463586098,76113.66790727444,40460.58102379111,50407.81593282323,408860.54055855214,52834.01210758366,76784.66889592986,92239.7315401681,412867.70191140927,44595.78588704497,74615.424385875,43230.38396827954,38683.85877024644,29688.25900036509,71894.89640429166,190693.20729920294,81594.62227346397,77114.54704295794,46487.622560200296,47518.982455346864,60449.671783144935,150235.28342576636,4045.9510679668665,4519.7969491304575
